# From MPC 26543
C/2007 W1 (Boattini),e,9.8799,334.9074,306.1254,1201,0.0000237,0.99929214,0.0000,06/22.2890/2008,2000,g  9.5,4.0
# From MPC 63376
C/2007 W3 (LINEAR),e,78.6856,73.0503,112.3975,3129,0.0000056,0.99943761,0.0000,06/04.3950/2008,2000,g 12.0,4.0
# From MPC 62271
C/2007 Y1 (LINEAR),e,110.2375,132.9389,357.1226,3650,0.0000045,0.99908133,0.0000,03/17.9598/2008,2000,g 10.5,4.0
# From MPC 62271
C/2007 Y2 (McNaught),e,98.6085,303.4750,257.7812,952.7035,0.0000335,0.99558090,0.0000,04/10.1448/2008,2000,g  9.0,4.0
# From MPC 65935
C/2008 A1 (McNaught),e,82.4698,278.0022,348.2913,3462,0.0000048,0.99969210,0.0000,09/27.9473/2008,2000,g  6.5,4.0
# From MPC 62582
C/2008 C1 (Chen-Gao),e,61.9970,307.6058,180.9865,3940,0.0000040,0.99967969,0.0000,04/17.9386/2008,2000,g 10.0,4.0
# From MPC 75708
P/2008 CL94 (Lemmon),e,8.3528,33.3809,81.2277,6.148334,0.0646499,0.12152925,203.1895,02/05.0/2015,2000,g  8.0,4.0
# From MPC 64113
C/2008 E1 (Catalina),e,34.8447,188.8551,270.6178,10.80969,0.0277322,0.55149593,65.5558,02/05.0/2015,2000,g  7.0,4.0
# From MPC 68392
C/2008 E3 (Garradd),e,105.0505,105.7536,218.0153,1366,0.0000195,0.99595667,0.0000,07/30.6384/2008,2000,g  6.0,4.0
# From MPC 88324
C/2008 FK75 (Lemmon-Siding Spring),h,09/28.6472/2010,61.2303,218.2668,80.4424,1.000137,4.512596,2000,5.0,4.0
# From MPC 82314
C/2008 G1 (Gibbs),e,72.9748,215.9125,63.6997,271.1116,0.0002208,0.98526996,0.0000,01/09.8206/2009,2000,g  9.5,4.0
# From MPC 63137
C/2008 H1 (LINEAR),e,75.4387,34.5229,95.9265,50.79875,0.0027222,0.94589812,6.8470,02/05.0/2015,2000,g 10.5,4.0
# From MPC 65054
C/2008 J1 (Boattini),e,61.6853,273.4068,68.2383,160.5178,0.0004846,0.98918947,0.0000,07/10.0603/2008,2000,g 10.0,4.0
# From MPC 75709
P/2008 J3 (McNaught),e,25.3521,9.8235,4.6298,3.903278,0.1278086,0.41059747,276.0194,02/05.0/2015,2000,g 12.0,4.0
# From MPC 63376
C/2008 J5 (Garradd),e,93.2812,287.2278,313.1243,68.53156,0.0017373,0.97157715,0.0000,04/01.7140/2008,2000,g 12.0,4.0
# From MPC 82314
C/2008 J6 (Hill),h,04/08.1680/2008,44.8900,298.3010,10.6145,1.001091,2.006567,2000,10.5,4.0
# From MPC 75709
P/2008 L2 (Hill),e,25.8319,218.0127,141.4996,6.020583,0.0667185,0.61192271,157.8524,02/05.0/2015,2000,g 12.5,4.0
# From MPC 68902
C/2008 N1 (Holmes),e,115.4042,357.3647,100.6631,944.8918,0.0000339,0.99705860,0.0000,09/24.8987/2009,2000,g  9.0,4.0
# From MPC 75709
P/2008 O2 (McNaught),e,9.5136,325.8576,27.2625,4.491794,0.1035319,0.15086410,219.6347,02/05.0/2015,2000,g  9.0,4.0
# From MPC 64114
P/2008 O3 (Boattini),e,32.2307,47.5804,341.3075,8.240453,0.0416656,0.69407942,101.6980,02/05.0/2015,2000,g 13.0,4.0
# From MPC 82314
C/2008 P1 (Garradd),h,07/21.9298/2009,64.2577,357.7961,11.9077,1.000288,3.903689,2000,7.0,4.0
# From MPC 65935
C/2008 Q1 (Maticic),e,118.5335,9.1718,104.2539,582.9316,0.0000700,0.99494109,0.0000,12/29.5103/2008,2000,g 10.0,4.0
# From MPC 80896
C/2008 Q3 (Garradd),e,140.7580,219.6203,340.5958,1274,0.0000217,0.99859244,0.0000,06/21.3659/2009,2000,g 10.0,4.0
